dataset,field,description,units,source,notes
provided_portfolio_data.csv,FSA,Forward Sortation Area code (first 3 characters of Canadian postal code),code,Provided (Current Exposure sheet),159 unique Alberta FSAs
provided_portfolio_data.csv,Number of Exposure,Count of insured exposures/policies in the FSA,count,Provided (Current Exposure sheet),
provided_portfolio_data.csv,$ Average Exposure,Average insured value per exposure in the FSA,CAD,Provided (Current Exposure sheet),
provided_claims_data.csv,FSA,Forward Sortation Area code,code,Provided (Historical claims sheet),
provided_claims_data.csv,Loss Dates,"Text date range describing the event window (e.g. ""May 3 - May 18 2016"")",date range (text),Provided (Historical claims sheet),Needs parsing into start/end dates before joining to daily FWI
provided_claims_data.csv,Number of Exposure,Count of exposures at risk in the FSA during the event,count,Provided (Historical claims sheet),
provided_claims_data.csv,$ Average Exposure,Average insured value per exposure in the FSA during the event,CAD,Provided (Historical claims sheet),
provided_claims_data.csv,Loss Frequency,Claim frequency for the FSA/event,rate,Provided (Historical claims sheet),
provided_claims_data.csv,Total $ Loss,Total claim loss amount for the FSA/event,CAD,Provided (Historical claims sheet),
climate_data (raw + processed),tas,Daily near-surface air temperature (noon proxy; verified equal to (tasmax+tasmin)/2),K,NASA NEX-GDDP-CMIP6 (EC-Earth3 ssp126 r1i1p1f1),"cell_methods attribute is mislabeled ""time: maximum"" in the source data -- confirmed cosmetic, not an actual data issue"
climate_data (raw + processed),hurs,Daily near-surface relative humidity,%,NASA NEX-GDDP-CMIP6 (EC-Earth3 ssp126 r1i1p1f1),
climate_data (raw + processed),pr,Daily precipitation flux,kg m-2 s-1 (raw); converted to mm/day for FWI input,NASA NEX-GDDP-CMIP6 (EC-Earth3 ssp126 r1i1p1f1),"Converted via xclim convert_units_to(..., context=""hydro"") before FWI computation"
climate_data (raw + processed),sfcWind,Daily near-surface wind speed,m s-1,NASA NEX-GDDP-CMIP6 (EC-Earth3 ssp126 r1i1p1f1),
climate_data (raw + processed),lat / lon,Grid cell latitude/longitude,degrees_north / degrees_east (0-360 lon convention),NASA NEX-GDDP-CMIP6,"Longitude is 0-360, not -180/180 -- see src/01_fetch_climate_data.py notes"
alberta_fwi_{2015_2025|2045_2050}.nc,DC,Drought Code -- seasonal drought/deep fuel moisture indicator,index,Computed via xclim.indices.fire.cffwis_indices,"NaN outside the WF93-estimated fire season. Two files exist: 2015_2025 (historical) and 2045_2050 (SSP1-2.6 future, feeds the illustrative future projection in notebooks/02_model_fitting.ipynb)"
alberta_fwi_{2015_2025|2045_2050}.nc,DMC,Duff Moisture Code -- moderate-depth fuel moisture,index,Computed via xclim.indices.fire.cffwis_indices,NaN outside the WF93-estimated fire season; see DC row for the two file variants
alberta_fwi_{2015_2025|2045_2050}.nc,FFMC,Fine Fuel Moisture Code -- fine/surface fuel moisture,index (0-101 valid range),Computed via xclim.indices.fire.cffwis_indices,NaN outside the WF93-estimated fire season; see DC row for the two file variants
alberta_fwi_{2015_2025|2045_2050}.nc,ISI,Initial Spread Index -- expected rate of fire spread,index,Computed via xclim.indices.fire.cffwis_indices,NaN outside the WF93-estimated fire season; see DC row for the two file variants
alberta_fwi_{2015_2025|2045_2050}.nc,BUI,Buildup Index -- total fuel available for combustion,index,Computed via xclim.indices.fire.cffwis_indices,NaN outside the WF93-estimated fire season; see DC row for the two file variants
alberta_fwi_{2015_2025|2045_2050}.nc,FWI,Fire Weather Index -- overall fire intensity potential,index,Computed via xclim.indices.fire.cffwis_indices,"NaN outside the WF93-estimated fire season; ~61% NaN (historical) / ~53% NaN (future) over the covered period, concentrated Nov-Mar"
fuel_data,FBP_Canada_30m_3978_*.tif,Canadian Fire Behaviour Prediction (FBP) fuel type raster,fuel class (categorical),NRCan/Canadian Forest Service (National Forest Information System) -- see references/external_sources.md,"30m resolution, Lambert Conformal Conic (EPSG:3978). Not included in this repository (exceeds GitHub's 100 MB limit; see .gitignore)"
