FSA,Loss Dates,Number of Exposure_at_claim,$ Average Exposure_at_claim,Loss Frequency,Total $ Loss,event_start,event_end,climate_days_available,window_coverage_fraction,fwi_mean,fwi_max,fwi_p95,days_fwi_above_30,dc_max,dmc_max,ffmc_max,isi_max,bui_mean,Number of Exposure_current_portfolio,$ Average Exposure_current_portfolio,dominant_fuel_code,dominant_fuel_pct,n_valid_pixels,n_fuel_classes_present
T0A,"May 3 - May 18, 2016",23300,69124.67596349292,0.01159,87986.22635482404,2016-05-03,2016-05-18,14,0.875,0.6399191902159916,2.9490101149730794,2.1863028732099723,0,51.53927370406112,6.495953082003623,82.02896207925495,3.443408429827779,6.309536257237098,28400,76356.64648115437,11.0,0.2351575013826005,42405596.0,13.0
T0B,"May 3 - May 18, 2016",25900,73417.892374046,0.0027,8260.251106632863,2016-05-03,2016-05-18,12,0.75,1.228688289344644,2.6690156710699555,2.6539638887338515,0,55.59607130224754,8.15224704668891,82.49827763300969,3.208976564784213,9.437311559417603,31600,81099.02831742978,31.0,0.7510147652784673,34682651.0,12.0
T0C,"May 3 - May 18, 2016",25400,72652.38571874163,0.00432,69261.65081906192,2016-05-03,2016-05-18,14,0.875,0.16906060443622414,0.7404315656791389,0.4942168318677157,0,43.65498465496883,3.2134685650699537,72.40005902098487,1.7284537390851968,3.2767430238356057,31000,80253.43272883103,31.0,0.586367759245039,20985985.0,13.0
T0E,"May 3 - May 18, 2016",17900,66191.74340285285,0.00224,3501.2423477989664,2016-05-03,2016-05-18,14,0.875,0.18708779008434662,0.6824631234225457,0.6384985238034807,0,46.00879111707982,3.433414104863961,71.32407669587437,1.6669214564830048,3.400329550390016,21800,73116.8642823324,101.0,0.2098423210800715,35333068.0,14.0
T0G,"May 3 - May 18, 2016",13500,62975.96905488189,0.00666,74490.97064294481,2016-05-03,2016-05-18,15,0.9375,0.5273730856128584,1.9853694315221528,1.5027902542089575,0,52.09359244152414,5.288816259246203,74.97836757243006,2.5974783593855206,5.358532020385852,16500,69564.64878723389,2.0,0.2988464464872715,69320928.0,13.0
T0H,"May 3 - May 18, 2016",28100,68079.22656567488,0.00178,181734.03813420865,2016-05-03,2016-05-18,15,0.9375,0.5826395545890919,1.755671126413889,1.1848174492717407,0,57.39920618122994,6.5043328716419655,80.35849647450995,2.3755942526904907,5.798843224311624,34200,75201.81994532674,2.0,0.2742430218251194,244152845.0,15.0
T0J,"May 3 - May 18, 2016",17900,72607.61373862077,0.00279,10740.308682347906,2016-05-03,2016-05-18,12,0.75,0.3822623124477236,1.4756961214211572,1.117168057046256,0,36.79869290102587,6.648895955955803,75.45695260795938,2.081486158622396,5.320681331298215,21800,80203.97660899107,13.0,0.5310800177877579,43432118.0,14.0
T0K,"May 3 - May 18, 2016",18800,71742.7299543688,0.00106,2068.826912194199,2016-05-03,2016-05-18,12,0.75,0.2974656980294092,0.8773011473669323,0.7695864819581151,0,32.74970336462295,6.265615213630487,76.59221564302518,1.4813880258165968,4.709430572720952,22900,79248.60684499696,31.0,0.5160024242802729,28374607.0,15.0
T0L,"May 3 - May 18, 2016",21500,87297.75836277474,0.00186,394491.0688096511,2016-05-03,2016-05-18,12,0.75,0.22727017386965453,0.7743676780314587,0.730155173188929,0,31.185243974801093,6.025993874212576,77.49176456006961,1.442345510865563,4.203100521734924,26200,96431.035386322,31.0,0.3161456323586905,31471632.0,14.0
T0M,"May 3 - May 18, 2016",31000,68918.71627460717,0.00129,8762.569044624497,2016-05-03,2016-05-18,0,0.0,,,,0,,,,,,37800,76129.13885186835,31.0,0.4003673525106271,23419467.0,15.0
T0P,"May 3 - May 18, 2016",600,56698.157816362895,0.678445,1114387.6482050857,2016-05-03,2016-05-18,12,0.75,1.1551280032907723,2.6015108036219456,2.5908794266906043,0,41.77409759925269,8.615962814969304,81.88667847774441,2.735778835454629,6.75979334230076,700,62630.03959401069,4.0,0.2164447054108321,45095633.0,14.0
T1A,"May 3 - May 18, 2016",12000,59384.338359778856,0.0,0.0,2016-05-03,2016-05-18,12,0.75,0.433695345750525,2.325607635278856,1.589834781830429,0,32.93324574754124,6.873419084810235,81.89911249176816,2.90727208052537,4.95960345801962,14600,65597.25405511705,13.0,0.660505545843581,1796751.0,5.0
T1B,"May 3 - May 18, 2016",11000,72071.1809837747,0.00273,206.4896865748136,2016-05-03,2016-05-18,12,0.75,0.43612755651606555,2.257321985322096,1.6606970165131578,0,32.245879181961655,6.865983221404631,81.76291164740529,2.853795551522494,4.861976784403335,13400,79611.4211191928,13.0,0.8448068208614845,4499373.0,13.0
T1C,"May 3 - May 18, 2016",3100,65824.9056105902,0.0,0.0,2016-05-03,2016-05-18,12,0.75,0.42476369204329484,2.341959238052368,1.5871665865182867,0,32.65263748168945,6.881921768188477,81.91026306152344,2.9194021224975586,4.923267861207326,3800,72711.64714056208,101.0,0.4080032336297494,12370.0,4.0
T1G,"May 3 - May 18, 2016",4000,68009.79545178893,0.0,0.0,2016-05-03,2016-05-18,12,0.75,0.22880950990358376,0.8081216726283652,0.7740812796712357,0,32.65082909350556,6.198247894795227,78.00360694214864,1.4804738125139851,4.472489957068569,4900,75125.12480073638,31.0,0.6536465408477333,1074772.0,4.0
