CFSAUID,dominant_fuel_code,dominant_fuel_pct,n_valid_pixels,n_fuel_classes_present
T0A,11,0.23515750138260055,42405596,13
T0B,31,0.7510147652784673,34682651,12
T0C,31,0.586367759245039,20985985,13
T0E,101,0.2098423210800715,35333068,14
T0G,2,0.2988464464872715,69320928,13
T0H,2,0.27424302182511945,244152845,15
T0J,13,0.5310800177877579,43432118,14
T0K,31,0.5160024242802729,28374607,15
T0L,31,0.31614563235869053,31471632,14
T0M,31,0.40036735251062716,23419467,15
T0P,4,0.21644470541083213,45095633,14
T1A,13,0.660505545843581,1796751,5
T1B,13,0.8448068208614845,4499373,13
T1C,101,0.4080032336297494,12370,4
T1G,31,0.6536465408477333,1074772,4
T1H,101,0.6120054823797245,43047,4
T1J,31,0.6711916826884408,385413,6
T1K,31,0.7557900203291936,315802,5
T1L,101,0.7058440147729741,4603,11
T1M,31,0.8646562996887451,651556,4
T1P,31,0.8461780347478035,1125769,11
T1R,31,0.5066571476635361,243723,4
T1S,31,0.666576606944205,1165893,13
T1V,31,0.8078179637636874,217627,8
T1W,3,0.32802978782980713,3407029,14
T1X,31,0.7839798884302989,468586,11
T1Y,101,0.9391349540913553,17317,6
T1Z,31,0.8219056699404899,282137,10
T2A,101,0.9835774937015956,21434,6
T2B,101,0.8391611559018027,22078,6
T2C,101,0.7924790880153971,67545,7
T2E,101,0.8826487994739368,56267,7
T2G,101,0.8998936295946106,16922,6
T2H,101,0.9480410054767588,14242,6
T2J,101,0.8832989546551061,28603,9
T2K,101,0.9943029490616622,14920,5
T2L,101,0.9920177963883801,7642,5
T2M,101,0.999550022498875,6667,2
T2N,101,0.9628805412141712,11234,6
T2P,31,0.7195526710779443,94606,8
T2R,101,1.0,1211,1
T2S,101,0.9692379762648344,6404,6
T2T,101,0.9937077050931972,8423,5
T2V,101,0.6838223756472619,25492,11
T2W,101,0.9196050046530866,19342,11
T2X,101,0.5905172413793104,44080,9
T2Y,31,0.4138340004659339,94434,13
T2Z,101,0.8183511385999438,28456,8
T3A,101,0.921455938697318,22968,7
T3B,101,0.7513409478134663,31694,10
T3C,101,0.8417841182536955,11636,8
T3E,101,0.9796954314720813,18912,8
T3G,101,0.8111759619541721,27756,11
T3H,101,0.7454348040667259,40524,13
T3J,101,0.8787859404483961,31267,7
T3K,101,0.6625905145542608,41706,7
T3L,101,0.3928163035135262,63839,12
T3M,101,0.46541126217638173,38394,8
T3N,31,0.5245354619209631,30568,7
T3P,31,0.7909214136939201,90741,8
T3R,31,0.5238242779683523,135555,12
T3S,31,0.5892829657644187,45479,8
T3Z,31,0.34583486440171574,582382,13
T4A,31,0.8146691735990343,552601,10
T4B,31,0.6675154695953608,308670,11
T4C,31,0.3762163161801402,789474,12
T4E,31,0.7703552878162022,771065,13
T4G,31,0.7934816477109627,1222763,13
T4H,31,0.8545174280354176,1171618,12
T4J,31,0.8062125655036406,1161195,12
T4L,31,0.8092969997165321,804324,12
T4M,31,0.5140037172338653,15603,10
T4N,101,0.632828202265114,31345,11
