FSA,Loss Dates,Number of Exposure,$ Average Exposure,Loss Frequency,Total $ Loss
T0A,"May 3 - May 18, 2016",23300,69124.67596349292,0.01159,87986.22635482404
T0B,"May 3 - May 18, 2016",25900,73417.892374046,0.0027,8260.251106632863
T0C,"May 3 - May 18, 2016",25400,72652.38571874163,0.00432,69261.65081906192
T0E,"May 3 - May 18, 2016",17900,66191.74340285285,0.00224,3501.2423477989664
T0G,"May 3 - May 18, 2016",13500,62975.96905488189,0.00666,74490.97064294481
T0H,"May 3 - May 18, 2016",28100,68079.22656567488,0.00178,181734.03813420862
T0J,"May 3 - May 18, 2016",17900,72607.61373862077,0.00279,10740.308682347906
T0K,"May 3 - May 18, 2016",18800,71742.7299543688,0.00106,2068.826912194199
T0L,"May 3 - May 18, 2016",21500,87297.75836277474,0.00186,394491.0688096511
T0M,"May 3 - May 18, 2016",31000,68918.71627460717,0.00129,8762.569044624497
T0P,"May 3 - May 18, 2016",600,56698.157816362895,0.678445,1114387.6482050857
T1A,"May 3 - May 18, 2016",12000,59384.338359778856,0,0
T1B,"May 3 - May 18, 2016",11000,72071.1809837747,0.00273,206.48968657481356
T1C,"May 3 - May 18, 2016",3100,65824.9056105902,0,0
T1G,"May 3 - May 18, 2016",4000,68009.79545178893,0,0
T1H,"May 3 - May 18, 2016",9600,65158.68041518269,0,0
T1J,"May 3 - May 18, 2016",13500,65710.53921883261,0.00148,32315.17039152131
T1K,"May 3 - May 18, 2016",17000,76636.32528496177,0.00294,2985.461347349301
T1L,"May 3 - May 18, 2016",1800,57069.41045073145,0,0
T1M,"May 3 - May 18, 2016",4100,72877.57073492749,0,0
T1P,"May 3 - May 18, 2016",7200,75315.0898868901,0.00279,856.7480648568409
T1R,"May 3 - May 18, 2016",6600,73637.96193630554,0,0
T1S,"May 3 - May 18, 2016",13700,89806.27729195,0.00219,605.6955730428808
T1V,"May 3 - May 18, 2016",7200,74014.51339381596,0.00277,171166.51217148863
T1W,"May 3 - May 18, 2016",7300,72868.9820508524,0.00958,10810.861129555245
T1X,"May 3 - May 18, 2016",7700,96568.60896244716,0.00905,11284.880825250691
T1Y,"May 3 - May 18, 2016",16500,67311.05281310646,0.00242,21848.696910961866
T1Z,"May 3 - May 18, 2016",100,170436.1364388727,0,0
T2A,"May 3 - May 18, 2016",17700,58707.521250406244,0.00113,1817.9408773067712
T2B,"May 3 - May 18, 2016",7700,59011.15828681423,0.0026,0
T2C,"May 3 - May 18, 2016",7600,71758.30633744944,0,0
T2E,"May 3 - May 18, 2016",14800,58158.38003056426,0.00068,0
T2G,"May 3 - May 18, 2016",40500,66688.11571740099,0.00049,0
T2H,"May 3 - May 18, 2016",3300,60551.321410881654,0,0
T2J,"May 3 - May 18, 2016",17800,85080.3880601772,0.00112,153007.37568139256
T2K,"May 3 - May 18, 2016",13100,64582.73389295447,0,0
T2L,"May 3 - May 18, 2016",6100,69988.56720868188,0.00326,3228.080229024993
T2M,"May 3 - May 18, 2016",9200,80684.10259478705,0.00217,919.9036548654034
T2N,"May 3 - May 18, 2016",12100,73875.1780039411,0,0
T2P,"May 3 - May 18, 2016",6900,45388.28347596001,0.00292,23864.965964573068
T2R,"May 3 - May 18, 2016",7800,29429.29315009608,0.00258,4474.997030053367
