FSA,Number of Exposure,$ Average Exposure
T0A,28400,76356.64648115437
T0B,31600,81099.02831742978
T0C,31000,80253.43272883103
T0E,21800,73116.8642823324
T0G,16500,69564.64878723389
T0H,34200,75201.81994532674
T0J,21800,80203.97660899107
T0K,22900,79248.60684499696
T0L,26200,96431.03538632201
T0M,37800,76129.13885186835
T0N,100,93589.45208057806
T0P,700,62630.03959401069
T0T,100,93790.65211645531
T0V,100,93839.21112671989
T1A,14600,65597.25405511705
T1B,13400,79611.4211191928
T1C,3800,72711.64714056208
T1G,4900,75125.12480073638
T1H,11700,71975.72004920854
T1J,16500,72585.3154938232
T1K,20700,84654.18051997892
T1L,2100,63040.13346805139
T1M,5000,80502.17708002102
T1P,8700,83194.71466639248
T1R,8100,81342.12202503122
T1S,16700,99202.00089750181
T1V,8800,81758.06909635307
T1W,8900,80492.6898295635
T1X,9400,106671.8220801019
T1Y,20200,74353.27822207952
T1Z,200,188267.52727998164
T2A,21600,64849.62690124721
T2B,9400,65185.03108975776
T2C,9300,79265.81286238172
T2E,18000,64243.03335983446
T2G,49300,73665.16812342385
T2H,4000,66886.32935334508
T2J,21700,93981.67908984302
T2K,15900,71339.51677770162
T2L,7500,77310.91986453913
T2M,11200,89125.44489514937
T2N,14700,81604.15614184449
T2P,8400,50136.902161981205
T2R,9500,32508.24834880854
T2S,9500,82517.58102355458
T2T,16900,88110.95626867242
T2V,16100,85290.28591018418
T2W,18700,87797.62698608336
T2X,19800,96700.54295694041
T2Y,26300,88249.53245855648
T2Z,31000,91328.46910817544
T3A,23600,99045.91059729621
T3B,18000,87603.58980913021
T3C,11900,63979.973374445384
T3E,20800,75101.07727345239
T3G,26400,95186.93131897537
T3H,33700,117153.61100319414
T3J,23200,79519.34012141172
T3K,33700,86009.41290967578
T3L,13700,114026.29359656436
T3M,19500,97724.09479311567
T3N,5800,78818.41339231476
T3P,7000,96338.24234410036
T3R,10500,109390.20043377891
T3S,200,90807.93396495623
T3T,100,99075.5475876244
T3Z,5500,172356.9119351768
T4A,7600,84832.26326027226
T4B,25100,83371.94463203147
T4C,16100,97592.17096766183
T4E,1200,107168.55589281976
T4G,6500,72890.30388869376
T4H,6400,80183.63180473303
T4J,5600,81284.07217408663
T4K,100,96022.38322569024
T4L,8900,83051.38007046479
T4M,1000,79566.87412241349
T4N,21500,68324.90458823598
T4P,13700,72577.69926735172
T4R,16700,84474.79231996647
T4S,12700,82496.70594735706
T4T,7500,78137.22549569096
T4V,12600,77835.44543824572
T4X,9200,99621.45918097488
T5A,13200,61476.171180768724
T5B,6200,65735.03146467003
T5C,6000,71676.41685711774
T5E,12300,69857.35950374111
T5G,4900,64534.74038227577
T5H,8800,45440.98502049295
T5J,26000,56562.57488253161
T5K,14600,35079.15304133789
T5L,7000,67853.88729653365
T5M,6900,62009.33013115402
T5N,7900,79538.87630934632
T5P,7900,60080.06273455239
T5R,11500,82617.03384574137
T5S,2600,73792.69448377409
T5T,29500,74741.29955933786
T5V,100,80031.9435289854
T5W,8000,73408.2096384527
T5X,15400,79719.91572973174
T5Y,19400,75689.82041218002
T5Z,12400,93111.61366494815
T6A,6800,77926.96082068795
T6B,4600,75393.89924011366
T6C,10500,71323.7001793778
T6E,12400,53659.66851693373
T6G,6400,68685.09897879342
T6H,13800,72806.26451037085
T6J,19900,82498.56498950544
T6K,10300,71690.79257012371
T6L,19100,77053.15264802653
T6M,13400,106537.94898471003
T6N,100,74635.39362366908
T6P,1000,43742.04337005211
T6R,22100,108485.14266658435
T6S,100,100925.33681368832
T6T,14000,84416.00954394757
T6V,8600,85949.91934608093
T6W,27500,89259.23242646614
T6X,16600,85528.87907367297
T6Y,100,111114.69992627812
T7A,6600,82091.78462202376
T7E,6400,73820.08072547406
T7N,4700,75945.14474920777
T7P,3900,71249.37950176964
T7S,5500,74519.43935433593
T7V,6000,76599.96278906854
T7X,21400,82279.4413523703
T7Y,4000,113675.41795108643
T7Z,12700,82470.417674773
T8A,23700,98368.48227457308
T8B,3000,154912.4554775575
T8C,1700,115518.45823750675
T8E,3800,109792.88669279242
T8G,2200,95753.76277698566
T8H,13600,84206.78957936486
T8L,13700,83056.00385939679
T8N,31300,92556.94631477409
T8R,6700,82297.77415703825
T8S,4400,72072.96670379165
T8T,2700,143696.90505246125
T8V,24200,72875.57265776674
T8W,10700,93803.9590766589
T8X,9600,88879.13642689475
T9A,7600,77654.18331535641
T9C,3400,80476.91886282063
T9E,15800,81016.8989083656
T9G,3300,80444.14923669066
T9H,17400,70804.31346021053
T9J,1500,73829.05928921171
T9K,20300,83074.9152182761
T9M,9400,74499.94683864542
T9N,6400,90017.57373052892
T9S,4500,79002.2480585502
T9V,10800,92203.4654093755
T9W,4600,82093.54280024087
T9X,3600,85618.24476689688
